Index               |Total Score         |Arrival Score       |Step Score          |Reward Score        
sacd_actor_1000.pth |0.849               |0.94                |0.858               |0.75                
sacd_actor_500.pth  |0.84                |0.92                |0.857               |0.744               
sacd_actor_100.pth  |0.813               |0.89                |0.844               |0.704               
sacd_actor_200.pth  |0.818               |0.9                 |0.839               |0.716               
sacd_actor_600.pth  |0.82                |0.93                |0.83                |0.699               
sacd_actor_800.pth  |0.815               |0.93                |0.823               |0.693               
sacd_actor_1300.pth |0.77                |0.82                |0.82                |0.67                
sacd_actor_900.pth  |0.8                 |0.92                |0.82                |0.66                
sacd_actor_1200.pth |0.8                 |0.9                 |0.818               |0.683               
sacd_actor_1600.pth |0.813               |0.91                |0.814               |0.715               
sacd_actor_1400.pth |0.811               |0.93                |0.814               |0.69                
sacd_actor_400.pth  |0.766               |0.84                |0.811               |0.648               
sacd_actor_700.pth  |0.777               |0.88                |0.8                 |0.652               
sacd_actor_1500.pth |0.766               |0.86                |0.794               |0.643               
sacd_actor_300.pth  |0.746               |0.85                |0.785               |0.603               
sacd_actor_1800.pth |0.756               |0.88                |0.777               |0.611               
sacd_actor_1100.pth |0.736               |0.86                |0.763               |0.586               
sacd_actor_1700.pth |0.714               |0.85                |0.739               |0.552               
sacd_actor_1900.pth |0.688               |0.82                |0.737               |0.506               
sacd_actor_2000.pth |0.625               |0.75                |0.71                |0.415               
