Index               |Total Score         |Arrival Score       |Step Score          |Reward Score        
sacd_actor_9400.pth |0.861               |0.94                |0.876               |0.767               
sacd_actor_9000.pth |0.86                |0.9                 |0.888               |0.791               
sacd_actor_15700.pth|0.841               |0.91                |0.855               |0.758               
sacd_actor_5700.pth |0.84                |0.94                |0.859               |0.722               
sacd_actor_7800.pth |0.834               |0.9                 |0.861               |0.741               
sacd_actor_8800.pth |0.831               |0.89                |0.865               |0.737               
sacd_actor_5200.pth |0.83                |0.88                |0.865               |0.745               
sacd_actor_12400.pth|0.826               |0.93                |0.839               |0.709               
sacd_actor_7100.pth |0.818               |0.89                |0.853               |0.712               
sacd_actor_5400.pth |0.817               |0.88                |0.853               |0.717               
sacd_actor_10100.pth|0.816               |0.92                |0.831               |0.698               
sacd_actor_4700.pth |0.816               |0.91                |0.844               |0.693               
sacd_actor_11100.pth|0.812               |0.89                |0.838               |0.707               
sacd_actor_17400.pth|0.808               |0.88                |0.836               |0.708               
sacd_actor_16000.pth|0.808               |0.87                |0.841               |0.714               
sacd_actor_9700.pth |0.797               |0.88                |0.83                |0.682               
sacd_actor_4300.pth |0.794               |0.87                |0.833               |0.68                
sacd_actor_3700.pth |0.781               |0.88                |0.82                |0.644               
sacd_actor_4900.pth |0.78                |0.88                |0.814               |0.647               
sacd_actor_4400.pth |0.778               |0.89                |0.811               |0.632               
sacd_actor_13200.pth|0.777               |0.85                |0.815               |0.665               
sacd_actor_3000.pth |0.775               |0.88                |0.821               |0.623               
sacd_actor_8500.pth |0.769               |0.85                |0.818               |0.64                
sacd_actor_15900.pth|0.767               |0.84                |0.812               |0.648               
sacd_actor_12800.pth|0.752               |0.88                |0.787               |0.59                
sacd_actor_2100.pth |0.749               |0.83                |0.814               |0.603               
sacd_actor_5900.pth |0.743               |0.8                 |0.804               |0.626               
sacd_actor_9500.pth |0.741               |0.82                |0.793               |0.61                
sacd_actor_5800.pth |0.738               |0.85                |0.785               |0.579               
sacd_actor_7700.pth |0.725               |0.85                |0.764               |0.562               
sacd_actor_2600.pth |0.705               |0.81                |0.77                |0.535               
sacd_actor_1900.pth |0.583               |0.74                |0.664               |0.346               
sacd_actor_1200.pth |0.377               |0.6                 |0.506               |0.024               
sacd_actor_700.pth  |-0.067              |0.27                |0.182               |-0.652              
sacd_actor_200.pth  |-0.207              |0.14                |0.118               |-0.878              
sacd_actor_400.pth  |-0.281              |0.08                |0.071               |-0.995              
sacd_actor_500.pth  |-0.314              |0.1                 |0.053               |-1.094              
sacd_actor_100.pth  |-0.381              |0.01                |0.006               |-1.159              
