Index          |Total Score    |Arrival Score  |Step Score     |Reward Score   
sacd_actor_100.pth|0.818          |0.9            |0.864          |0.689          
sacd_actor_500.pth|0.779          |0.91           |0.808          |0.618          
sacd_actor_1000.pth|0.771          |0.89           |0.806          |0.617          
sacd_actor_600.pth|0.757          |0.9            |0.789          |0.583          
sacd_actor_1300.pth|0.746          |0.87           |0.785          |0.582          
sacd_actor_900.pth|0.759          |0.9            |0.785          |0.593          
sacd_actor_400.pth|0.736          |0.88           |0.78           |0.549          
sacd_actor_200.pth|0.737          |0.87           |0.779          |0.562          
sacd_actor_800.pth|0.709          |0.83           |0.767          |0.531          
sacd_actor_300.pth|0.736          |0.89           |0.766          |0.553          
sacd_actor_1400.pth|0.735          |0.89           |0.763          |0.553          
sacd_actor_1100.pth|0.713          |0.87           |0.753          |0.517          
sacd_actor_1500.pth|0.701          |0.83           |0.752          |0.522          
sacd_actor_1800.pth|0.709          |0.88           |0.736          |0.512          
sacd_actor_1200.pth|0.676          |0.83           |0.731          |0.466          
sacd_actor_700.pth|0.687          |0.86           |0.728          |0.474          
sacd_actor_1600.pth|0.656          |0.8            |0.713          |0.455          
sacd_actor_2000.pth|0.597          |0.75           |0.682          |0.358          
sacd_actor_1700.pth|0.602          |0.78           |0.662          |0.365          
sacd_actor_1900.pth|0.569          |0.74           |0.657          |0.309          
