Index          |Total Score    |Arrival Score  |Step Score     |Reward Score   
transsac_actor_450.pth|-0.186         |0.22           |0.118          |-0.897         
transsac_actor_50.pth|-0.191         |0.2            |0.106          |-0.878         
transsac_actor_500.pth|-0.229         |0.16           |0.082          |-0.93          
transsac_actor_100.pth|-0.241         |0.16           |0.087          |-0.969         
transsac_actor_550.pth|-0.245         |0.17           |0.089          |-0.993         
transsac_actor_350.pth|-0.315         |0.04           |0.07           |-1.054         
transsac_actor_400.pth|-0.318         |0.05           |0.049          |-1.054         
transsac_actor_200.pth|-0.341         |0.05           |0.036          |-1.109         
transsac_actor_250.pth|-0.36          |0.05           |0.034          |-1.163         
transsac_actor_150.pth|-0.362         |0.04           |0.03           |-1.155         
transsac_actor_300.pth|-0.364         |0.04           |0.029          |-1.16          
