Index          |Total Score    |Arrival Score  |Step Score     |Reward Score   
DQN_32400.pth  |0.928          |0.96           |0.934          |0.891          
DQN_50000.pth  |0.913          |0.94           |0.925          |0.875          
DQN_23000.pth  |0.916          |0.95           |0.922          |0.875          
DQN_22600.pth  |0.9            |0.94           |0.915          |0.845          
DQN_32600.pth  |0.907          |0.96           |0.914          |0.846          
DQN_32800.pth  |0.897          |0.94           |0.911          |0.841          
DQN_31400.pth  |0.897          |0.93           |0.91           |0.85           
DQN_15800.pth  |0.877          |0.91           |0.909          |0.812          
DQN_33600.pth  |0.881          |0.91           |0.905          |0.827          
DQN_30600.pth  |0.897          |0.96           |0.904          |0.828          
DQN_17800.pth  |0.885          |0.94           |0.904          |0.812          
DQN_46200.pth  |0.881          |0.91           |0.903          |0.83           
DQN_44400.pth  |0.898          |0.95           |0.903          |0.842          
DQN_24400.pth  |0.893          |0.94           |0.903          |0.836          
DQN_48600.pth  |0.887          |0.95           |0.902          |0.81           
DQN_36800.pth  |0.892          |0.94           |0.902          |0.834          
DQN_32200.pth  |0.872          |0.9            |0.902          |0.814          
DQN_36200.pth  |0.894          |0.95           |0.901          |0.83           
DQN_27200.pth  |0.887          |0.94           |0.901          |0.821          
DQN_14000.pth  |0.882          |0.94           |0.9            |0.807          
DQN_42400.pth  |0.883          |0.92           |0.899          |0.831          
DQN_13600.pth  |0.869          |0.9            |0.899          |0.809          
DQN_12600.pth  |0.883          |0.95           |0.898          |0.801          
DQN_42000.pth  |0.884          |0.94           |0.897          |0.815          
DQN_36000.pth  |0.894          |0.96           |0.897          |0.824          
DQN_22400.pth  |0.887          |0.94           |0.897          |0.824          
DQN_15000.pth  |0.861          |0.89           |0.897          |0.795          
DQN_46800.pth  |0.878          |0.93           |0.896          |0.809          
DQN_48800.pth  |0.874          |0.93           |0.894          |0.797          
DQN_44800.pth  |0.874          |0.93           |0.894          |0.797          
DQN_21000.pth  |0.886          |0.95           |0.892          |0.817          
DQN_44000.pth  |0.884          |0.94           |0.891          |0.821          
DQN_43600.pth  |0.87           |0.92           |0.891          |0.8            
DQN_33800.pth  |0.873          |0.92           |0.891          |0.808          
DQN_22200.pth  |0.874          |0.93           |0.891          |0.801          
DQN_16000.pth  |0.874          |0.93           |0.889          |0.802          
DQN_45600.pth  |0.862          |0.91           |0.886          |0.791          
DQN_27400.pth  |0.868          |0.93           |0.886          |0.789          
DQN_43400.pth  |0.878          |0.95           |0.885          |0.798          
DQN_40200.pth  |0.861          |0.91           |0.885          |0.789          
DQN_31000.pth  |0.865          |0.9            |0.885          |0.809          
DQN_26600.pth  |0.861          |0.92           |0.885          |0.778          
DQN_46600.pth  |0.865          |0.91           |0.884          |0.802          
DQN_31600.pth  |0.857          |0.9            |0.884          |0.787          
DQN_27600.pth  |0.86           |0.9            |0.884          |0.796          
DQN_26200.pth  |0.871          |0.94           |0.884          |0.79           
DQN_44200.pth  |0.856          |0.9            |0.883          |0.784          
DQN_30800.pth  |0.871          |0.94           |0.883          |0.791          
DQN_13400.pth  |0.872          |0.95           |0.883          |0.782          
DQN_13000.pth  |0.855          |0.9            |0.883          |0.783          
DQN_45000.pth  |0.862          |0.92           |0.882          |0.784          
DQN_21200.pth  |0.861          |0.92           |0.881          |0.781          
DQN_46400.pth  |0.855          |0.91           |0.88           |0.774          
DQN_42800.pth  |0.861          |0.91           |0.88           |0.794          
DQN_41200.pth  |0.859          |0.91           |0.88           |0.787          
DQN_18200.pth  |0.86           |0.92           |0.88           |0.781          
DQN_49600.pth  |0.853          |0.9            |0.879          |0.78           
DQN_20400.pth  |0.836          |0.87           |0.879          |0.759          
DQN_12000.pth  |0.847          |0.88           |0.879          |0.781          
DQN_35600.pth  |0.851          |0.9            |0.878          |0.774          
DQN_19400.pth  |0.856          |0.92           |0.878          |0.771          
DQN_40600.pth  |0.844          |0.89           |0.877          |0.764          
DQN_31800.pth  |0.851          |0.89           |0.877          |0.785          
DQN_38800.pth  |0.858          |0.92           |0.876          |0.779          
DQN_41400.pth  |0.865          |0.94           |0.875          |0.781          
DQN_40800.pth  |0.852          |0.92           |0.875          |0.761          
DQN_38000.pth  |0.861          |0.93           |0.875          |0.777          
DQN_35200.pth  |0.855          |0.91           |0.875          |0.779          
DQN_22000.pth  |0.845          |0.89           |0.875          |0.77           
DQN_18000.pth  |0.851          |0.91           |0.875          |0.767          
DQN_9200.pth   |0.835          |0.9            |0.875          |0.731          
DQN_24000.pth  |0.854          |0.91           |0.874          |0.778          
DQN_23600.pth  |0.842          |0.89           |0.873          |0.763          
DQN_19600.pth  |0.847          |0.91           |0.873          |0.759          
DQN_38200.pth  |0.848          |0.9            |0.872          |0.772          
DQN_31200.pth  |0.851          |0.91           |0.872          |0.77           
DQN_29800.pth  |0.847          |0.92           |0.872          |0.75           
DQN_15400.pth  |0.85           |0.92           |0.872          |0.759          
DQN_21400.pth  |0.846          |0.92           |0.871          |0.747          
DQN_11400.pth  |0.846          |0.91           |0.871          |0.758          
DQN_41600.pth  |0.868          |0.96           |0.87           |0.775          
DQN_37200.pth  |0.841          |0.91           |0.87           |0.744          
DQN_18600.pth  |0.844          |0.92           |0.87           |0.743          
DQN_15600.pth  |0.836          |0.89           |0.87           |0.747          
DQN_47400.pth  |0.85           |0.91           |0.869          |0.77           
DQN_42600.pth  |0.851          |0.91           |0.868          |0.776          
DQN_32000.pth  |0.841          |0.89           |0.868          |0.765          
DQN_49000.pth  |0.855          |0.93           |0.867          |0.769          
DQN_35400.pth  |0.844          |0.9            |0.867          |0.766          
DQN_47800.pth  |0.836          |0.88           |0.866          |0.763          
DQN_36400.pth  |0.836          |0.88           |0.866          |0.761          
DQN_14400.pth  |0.829          |0.88           |0.866          |0.741          
DQN_44600.pth  |0.833          |0.88           |0.865          |0.753          
DQN_25800.pth  |0.845          |0.92           |0.865          |0.751          
DQN_25200.pth  |0.835          |0.89           |0.865          |0.749          
DQN_28600.pth  |0.835          |0.9            |0.864          |0.741          
DQN_8400.pth   |0.83           |0.9            |0.864          |0.726          
DQN_45200.pth  |0.826          |0.86           |0.863          |0.754          
DQN_27800.pth  |0.82           |0.85           |0.863          |0.748          
DQN_17200.pth  |0.838          |0.92           |0.863          |0.732          
DQN_43000.pth  |0.839          |0.9            |0.862          |0.755          
DQN_28000.pth  |0.84           |0.92           |0.862          |0.739          
DQN_17000.pth  |0.821          |0.88           |0.862          |0.722          
DQN_13800.pth  |0.839          |0.92           |0.862          |0.736          
DQN_39000.pth  |0.838          |0.91           |0.861          |0.742          
DQN_34200.pth  |0.838          |0.91           |0.861          |0.744          
DQN_21600.pth  |0.836          |0.9            |0.861          |0.746          
DQN_46000.pth  |0.844          |0.91           |0.86           |0.761          
DQN_37600.pth  |0.853          |0.95           |0.86           |0.748          
DQN_28800.pth  |0.838          |0.91           |0.86           |0.744          
DQN_23400.pth  |0.834          |0.9            |0.86           |0.741          
DQN_9000.pth   |0.822          |0.89           |0.86           |0.715          
DQN_8800.pth   |0.843          |0.92           |0.86           |0.748          
DQN_41800.pth  |0.84           |0.91           |0.859          |0.751          
DQN_29200.pth  |0.833          |0.9            |0.858          |0.74           
DQN_11800.pth  |0.823          |0.88           |0.858          |0.73           
DQN_40400.pth  |0.843          |0.93           |0.857          |0.741          
DQN_29600.pth  |0.833          |0.9            |0.857          |0.741          
DQN_26400.pth  |0.83           |0.9            |0.857          |0.733          
DQN_25400.pth  |0.833          |0.9            |0.857          |0.743          
DQN_24800.pth  |0.836          |0.92           |0.857          |0.732          
DQN_12800.pth  |0.836          |0.91           |0.857          |0.741          
DQN_47200.pth  |0.842          |0.92           |0.856          |0.75           
DQN_40000.pth  |0.82           |0.87           |0.855          |0.734          
DQN_39400.pth  |0.828          |0.9            |0.855          |0.728          
DQN_36600.pth  |0.838          |0.92           |0.855          |0.739          
DQN_9800.pth   |0.833          |0.93           |0.855          |0.713          
DQN_43200.pth  |0.835          |0.91           |0.854          |0.742          
DQN_34600.pth  |0.824          |0.88           |0.854          |0.739          
DQN_20600.pth  |0.836          |0.93           |0.854          |0.725          
DQN_23200.pth  |0.83           |0.91           |0.853          |0.727          
DQN_8000.pth   |0.808          |0.88           |0.853          |0.692          
DQN_17400.pth  |0.82           |0.89           |0.852          |0.719          
DQN_13200.pth  |0.839          |0.92           |0.852          |0.745          
DQN_10200.pth  |0.822          |0.91           |0.852          |0.704          
DQN_9600.pth   |0.83           |0.91           |0.852          |0.727          
DQN_29000.pth  |0.811          |0.85           |0.851          |0.731          
DQN_28200.pth  |0.813          |0.86           |0.851          |0.728          
DQN_7000.pth   |0.811          |0.87           |0.851          |0.711          
DQN_48400.pth  |0.813          |0.87           |0.85           |0.72           
DQN_47600.pth  |0.84           |0.94           |0.85           |0.73           
DQN_38600.pth  |0.835          |0.92           |0.85           |0.734          
DQN_17600.pth  |0.81           |0.87           |0.85           |0.711          
DQN_35000.pth  |0.832          |0.92           |0.849          |0.727          
DQN_33200.pth  |0.809          |0.87           |0.849          |0.708          
DQN_10000.pth  |0.817          |0.89           |0.849          |0.712          
DQN_49800.pth  |0.825          |0.89           |0.848          |0.738          
DQN_19800.pth  |0.808          |0.87           |0.848          |0.707          
DQN_23800.pth  |0.815          |0.88           |0.847          |0.717          
DQN_19200.pth  |0.828          |0.92           |0.847          |0.716          
DQN_16800.pth  |0.802          |0.88           |0.847          |0.679          
DQN_10400.pth  |0.839          |0.94           |0.847          |0.73           
DQN_8200.pth   |0.824          |0.91           |0.847          |0.716          
DQN_48200.pth  |0.826          |0.91           |0.846          |0.723          
DQN_26800.pth  |0.813          |0.89           |0.846          |0.704          
DQN_9400.pth   |0.818          |0.91           |0.846          |0.698          
DQN_30200.pth  |0.825          |0.9            |0.845          |0.729          
DQN_21800.pth  |0.82           |0.9            |0.845          |0.716          
DQN_10600.pth  |0.826          |0.91           |0.845          |0.724          
DQN_30400.pth  |0.815          |0.89           |0.844          |0.71           
DQN_11200.pth  |0.813          |0.89           |0.844          |0.705          
DQN_34400.pth  |0.814          |0.88           |0.841          |0.72           
DQN_25600.pth  |0.811          |0.89           |0.841          |0.703          
DQN_20200.pth  |0.807          |0.89           |0.841          |0.689          
DQN_12200.pth  |0.812          |0.89           |0.841          |0.706          
DQN_45400.pth  |0.822          |0.91           |0.84           |0.716          
DQN_49400.pth  |0.813          |0.9            |0.839          |0.701          
DQN_38400.pth  |0.797          |0.86           |0.839          |0.693          
DQN_37000.pth  |0.795          |0.85           |0.839          |0.696          
DQN_35800.pth  |0.807          |0.88           |0.839          |0.702          
DQN_16600.pth  |0.791          |0.88           |0.839          |0.653          
DQN_12400.pth  |0.804          |0.87           |0.839          |0.703          
DQN_6600.pth   |0.793          |0.86           |0.838          |0.682          
DQN_20000.pth  |0.808          |0.89           |0.837          |0.696          
DQN_39200.pth  |0.791          |0.84           |0.836          |0.698          
DQN_14600.pth  |0.802          |0.86           |0.836          |0.711          
DQN_11600.pth  |0.805          |0.88           |0.836          |0.7            
DQN_34000.pth  |0.797          |0.88           |0.835          |0.675          
DQN_26000.pth  |0.805          |0.88           |0.835          |0.7            
DQN_16400.pth  |0.817          |0.91           |0.835          |0.705          
DQN_39600.pth  |0.798          |0.87           |0.834          |0.69           
DQN_7600.pth   |0.774          |0.84           |0.834          |0.647          
DQN_43800.pth  |0.805          |0.88           |0.833          |0.703          
DQN_37800.pth  |0.775          |0.83           |0.833          |0.663          
DQN_24200.pth  |0.812          |0.91           |0.833          |0.694          
DQN_5800.pth   |0.801          |0.88           |0.833          |0.69           
DQN_4800.pth   |0.804          |0.91           |0.833          |0.67           
DQN_41000.pth  |0.802          |0.88           |0.832          |0.694          
DQN_47000.pth  |0.81           |0.89           |0.831          |0.71           
DQN_33000.pth  |0.799          |0.89           |0.831          |0.677          
DQN_29400.pth  |0.804          |0.88           |0.831          |0.702          
DQN_24600.pth  |0.806          |0.9            |0.83           |0.687          
DQN_15200.pth  |0.773          |0.81           |0.83           |0.679          
DQN_8600.pth   |0.794          |0.87           |0.83           |0.682          
DQN_42200.pth  |0.792          |0.87           |0.829          |0.677          
DQN_45800.pth  |0.796          |0.89           |0.828          |0.669          
DQN_39800.pth  |0.791          |0.86           |0.828          |0.686          
DQN_27000.pth  |0.797          |0.87           |0.828          |0.693          
DQN_22800.pth  |0.784          |0.85           |0.828          |0.674          
DQN_37400.pth  |0.807          |0.9            |0.827          |0.694          
DQN_18400.pth  |0.794          |0.89           |0.827          |0.665          
DQN_16200.pth  |0.802          |0.9            |0.827          |0.679          
DQN_7800.pth   |0.805          |0.92           |0.827          |0.669          
DQN_25000.pth  |0.767          |0.82           |0.826          |0.655          
DQN_34800.pth  |0.789          |0.88           |0.824          |0.662          
DQN_14800.pth  |0.786          |0.88           |0.824          |0.653          
DQN_6200.pth   |0.778          |0.85           |0.824          |0.661          
DQN_49200.pth  |0.779          |0.85           |0.823          |0.664          
DQN_30000.pth  |0.798          |0.91           |0.822          |0.663          
DQN_18800.pth  |0.791          |0.89           |0.821          |0.663          
DQN_5000.pth   |0.785          |0.9            |0.818          |0.638          
DQN_28400.pth  |0.783          |0.87           |0.816          |0.662          
DQN_20800.pth  |0.775          |0.85           |0.813          |0.663          
DQN_19000.pth  |0.785          |0.89           |0.813          |0.653          
DQN_14200.pth  |0.758          |0.82           |0.809          |0.645          
DQN_6000.pth   |0.759          |0.86           |0.809          |0.607          
DQN_3600.pth   |0.736          |0.83           |0.8            |0.578          
DQN_4200.pth   |0.729          |0.81           |0.799          |0.577          
DQN_10800.pth  |0.76           |0.86           |0.798          |0.623          
DQN_4000.pth   |0.74           |0.82           |0.798          |0.602          
DQN_7200.pth   |0.748          |0.84           |0.793          |0.612          
DQN_5200.pth   |0.751          |0.86           |0.793          |0.6            
DQN_5400.pth   |0.749          |0.84           |0.792          |0.614          
DQN_33400.pth  |0.742          |0.84           |0.789          |0.597          
DQN_6800.pth   |0.736          |0.82           |0.787          |0.6            
DQN_11000.pth  |0.746          |0.86           |0.785          |0.593          
DQN_48000.pth  |0.742          |0.85           |0.784          |0.592          
DQN_5600.pth   |0.73           |0.82           |0.782          |0.588          
DQN_7400.pth   |0.738          |0.85           |0.781          |0.582          
DQN_3400.pth   |0.713          |0.82           |0.779          |0.54           
DQN_4400.pth   |0.708          |0.8            |0.774          |0.551          
DQN_4600.pth   |0.697          |0.76           |0.77           |0.561          
DQN_3800.pth   |0.705          |0.81           |0.768          |0.537          
DQN_6400.pth   |0.699          |0.78           |0.767          |0.549          
DQN_2400.pth   |0.683          |0.83           |0.746          |0.473          
DQN_3000.pth   |0.605          |0.71           |0.707          |0.399          
DQN_2800.pth   |0.636          |0.78           |0.707          |0.422          
DQN_3200.pth   |0.632          |0.77           |0.705          |0.42           
DQN_2600.pth   |0.574          |0.71           |0.665          |0.348          
DQN_2200.pth   |0.554          |0.76           |0.634          |0.269          
DQN_2000.pth   |0.428          |0.61           |0.559          |0.115          
DQN_1800.pth   |0.417          |0.64           |0.527          |0.084          
DQN_1400.pth   |0.313          |0.52           |0.459          |-0.041         
DQN_1600.pth   |0.318          |0.59           |0.446          |-0.081         
DQN_900.pth    |0.217          |0.45           |0.398          |-0.198         
DQN_850.pth    |0.181          |0.4            |0.391          |-0.247         
DQN_1000.pth   |0.202          |0.44           |0.38           |-0.214         
DQN_1200.pth   |0.208          |0.48           |0.374          |-0.23          
DQN_950.pth    |0.182          |0.44           |0.366          |-0.259         
DQN_800.pth    |0.176          |0.44           |0.365          |-0.276         
DQN_700.pth    |0.005          |0.33           |0.259          |-0.574         
DQN_750.pth    |-0.032         |0.31           |0.233          |-0.638         
DQN_600.pth    |-0.055         |0.27           |0.197          |-0.631         
DQN_450.pth    |-0.195         |0.12           |0.142          |-0.848         
DQN_650.pth    |-0.2           |0.14           |0.135          |-0.876         
DQN_350.pth    |-0.238         |0.14           |0.12           |-0.974         
DQN_400.pth    |-0.221         |0.16           |0.112          |-0.936         
DQN_500.pth    |-0.241         |0.14           |0.107          |-0.969         
DQN_550.pth    |-0.23          |0.18           |0.099          |-0.968         
DQN_300.pth    |-0.287         |0.09           |0.066          |-1.017         
DQN_150.pth    |-0.313         |0.07           |0.052          |-1.061         
DQN_250.pth    |-0.365         |0.05           |0.02           |-1.164         
DQN_50.pth     |-0.371         |0.04           |0.015          |-1.169         
DQN_100.pth    |-0.423         |0.01           |0.007          |-1.286         
DQN_200.pth    |-0.481         |0.0            |0.0            |-1.442         
