Index          |Total Score    |Arrival Score  |Step Score     |Reward Score   
2799k.pth      |0.816          |0.886          |0.852          |0.709          
2450k.pth      |0.806          |0.875          |0.843          |0.701          
4595k.pth      |0.801          |0.874          |0.842          |0.687          
2948k.pth      |0.794          |0.872          |0.833          |0.677          
2848k.pth      |0.783          |0.851          |0.831          |0.668          
1260k.pth      |0.787          |0.873          |0.829          |0.659          
2103k.pth      |0.776          |0.86           |0.821          |0.646          
1507k.pth      |0.778          |0.871          |0.821          |0.643          
1557k.pth      |0.776          |0.868          |0.823          |0.638          
1211k.pth      |0.745          |0.85           |0.793          |0.591          
1705k.pth      |0.748          |0.855          |0.8            |0.588          
1063k.pth      |0.731          |0.838          |0.786          |0.569          
818k.pth       |0.704          |0.826          |0.758          |0.527          
